ID	Block	Trial	CSI	Practice	Switch	Targetpos	Distpos	RT	Error	LagError	GoodTrial
2011	6	21	2	0	1	3	11	617.286	0	0	1
2011	6	22	1	0	1	1	9	801.024	0	0	1
2011	6	23	1	0	1	7	3	1536.82	0	0	1
2011	6	24	1	0	1	5	9	742.951	0	0	1
2011	6	25	1	0	1	10	2	1053.38	0	0	1
2011	6	26	1	0	0	5	9	1837.92	0	0	1
2011	6	27	1	0	1	10	6	726.05	0	0	1
2011	6	28	1	0	0	4	8	1368.1	0	0	1
2011	6	29	2	0	1	10	2	1230.79	0	0	1
2011	6	30	1	0	1	1	5	990.369	0	0	1
2011	6	31	1	0	1	4	8	1873.46	0	0	1
2011	6	32	1	0	1	9	1	746.517	0	0	1
2011	6	33	2	0	1	7	11	1388.99	0	0	1
2011	6	34	1	0	1	5	9	596.117	0	0	1
2011	6	35	2	0	1	11	7	1215.57	0	0	1
2011	6	36	2	0	0	5	1	759.341	0	0	1
2011	6	37	1	0	1	10	6	1970.51	0	0	1
2011	6	38	2	0	1	3	7	1909.37	0	0	1
2011	6	39	1	0	0	10	2	1202.97	0	0	1
2011	6	40	1	0	1	1	5	882.625	0	0	1
2011	7	1	1	0	0	3	11	2092.53	0	NaN	0
2011	7	2	2	0	1	4	8	1297.76	0	0	1
2011	7	3	2	0	1	5	9	1895.29	0	0	1
2011	7	4	2	0	1	4	8	872.583	0	0	1
2011	7	5	2	0	0	5	9	609.782	0	0	1
2011	7	6	2	0	1	11	3	913.418	0	0	1
2011	7	7	1	0	1	12	8	1067.08	0	0	1
2011	7	8	1	0	1	1	9	3067.68	0	0	1
2011	7	9	1	0	1	12	4	864.435	0	0	1
2011	7	10	2	0	0	11	7	613.207	0	0	1
2011	7	11	2	0	1	10	2	1537.1	0	0	1
2011	7	12	1	0	1	4	8	747.11	0	0	1
2011	7	13	2	0	0	6	2	853.626	0	0	1
2011	7	14	2	0	0	3	11	821.633	0	0	1
2011	7	15	1	0	1	10	6	1293.96	0	0	1
2011	7	16	1	0	1	3	11	1219.96	0	0	1
2011	7	17	1	0	1	5	9	959.827	0	0	1
2011	7	18	1	0	0	4	12	1638.71	0	0	1
2011	7	19	1	0	1	7	3	1491	0	0	1
2011	7	20	1	0	1	4	8	996.568	0	0	1
2011	7	21	2	0	1	7	11	815.843	0	0	1
2011	7	22	1	0	1	1	9	1483.78	0	0	1
2011	7	23	1	0	1	10	6	701.007	0	0	1
2011	7	24	2	0	1	11	3	1223.39	0	0	1
2011	7	25	1	0	0	6	2	1763.42	0	0	1
2011	7	26	1	0	1	1	9	893.84	0	0	1
2011	7	27	1	0	1	10	2	1334.72	0	0	1
2011	7	28	1	0	1	8	4	1065.03	0	0	1
2011	7	29	1	0	1	6	10	1245.75	0	0	1
2011	7	30	2	0	0	5	1	1011.09	0	0	1
2011	7	31	2	0	1	6	10	674.77	0	0	1
2011	7	32	1	0	1	8	12	1399.78	0	0	1
2011	7	33	2	0	1	5	9	879.338	0	0	1
2011	7	34	2	0	1	11	7	944.497	0	0	1
2011	7	35	2	0	1	6	10	1570.93	0	0	1
2011	7	36	2	0	0	5	1	790.026	0	0	1
2011	7	37	2	0	1	12	4	605.309	0	0	1
2011	7	38	2	0	0	9	1	768.65	0	0	1
2011	7	39	1	0	1	12	4	811.697	0	0	1
2011	7	40	1	0	1	3	11	2631.11	0	0	1
2011	8	1	2	0	0	8	4	1696.9	1	NaN	0
2011	8	2	1	0	1	11	3	1748.71	0	1	0
2011	8	3	1	0	1	4	8	3312.12	0	0	1
2011	8	4	2	0	1	6	2	2153.48	0	0	1
2011	8	5	2	0	1	8	12	1201.02	0	0	1
2011	8	6	2	0	1	9	1	1012.42	0	0	1
2011	8	7	1	0	1	7	11	1668.16	0	0	1
2011	8	8	1	0	1	2	10	833.016	0	0	1
2011	8	9	2	0	1	5	9	517.309	0	0	1
2011	8	10	1	0	1	12	4	643.213	0	0	1
2011	8	11	1	0	1	9	5	1103.68	0	0	1
2011	8	12	1	0	1	11	7	885.589	0	0	1
2011	8	13	1	0	0	6	10	918.484	0	0	1
